date,age,all,male,female
1-Jan-00,0,3803453,1947719,1855734
1-Jan-00,1,3816646,1951304,1865342
1-Jan-00,2,3773178,1929817,1843361
1-Jan-00,3,3840163,1963473,1876690
1-Jan-00,4,3924534,2009608,1914926
1-Jan-00,5,3984021,2040493,1943528
1-Jan-00,6,4024543,2061740,1962803
1-Jan-00,7,4134443,2117611,2016832
1-Jan-00,8,4171709,2133163,2038546
1-Jan-00,9,4264360,2185397,2078963
1-Jan-00,10,4230386,2168849,2061537
1-Jan-00,11,4093175,2096683,1996492
1-Jan-00,12,4049448,2074088,1975360
1-Jan-00,13,3991142,2043684,1947458
1-Jan-00,14,4062456,2085078,1977378
1-Jan-00,15,3993157,2051531,1941626
1-Jan-00,16,3981264,2052133,1929131
1-Jan-00,17,4075591,2105486,1970105
1-Jan-00,18,3892332,1985635,1906697
1-Jan-00,19,4146489,2093531,2052958
1-Jan-00,20,3915141,1976777,1938364
1-Jan-00,21,3712547,1872273,1840274
1-Jan-00,22,3681044,1856205,1824839
1-Jan-00,23,3559089,1795039,1764050
1-Jan-00,24,3571023,1798645,1772378
1-Jan-00,25,3672923,1849529,1823394
1-Jan-00,26,3572962,1791145,1781817
1-Jan-00,27,3801275,1905764,1895511
1-Jan-00,28,3941263,1967815,1973448
1-Jan-00,29,4254037,2123715,2130322
1-Jan-00,30,4201995,2115365,2086630
1-Jan-00,31,3937930,1968923,1969007
1-Jan-00,32,3967105,1981555,1985550
1-Jan-00,33,3974353,1976206,1998147
1-Jan-00,34,4231254,2110009,2121245
1-Jan-00,35,4515084,2249487,2265597
1-Jan-00,36,4468588,2209963,2258625
1-Jan-00,37,4560546,2258744,2301802
1-Jan-00,38,4365393,2157621,2207772
1-Jan-00,39,4736176,2342920,2393256
1-Jan-00,40,4636483,2303312,2333171
1-Jan-00,41,4415118,2179792,2235326
1-Jan-00,42,4532247,2244095,2288152
1-Jan-00,43,4346766,2137532,2209234
1-Jan-00,44,4310538,2131104,2179434
1-Jan-00,45,4307698,2128956,2178742
1-Jan-00,46,4023640,1973975,2049665
